clean_tweet,Ofensivo,Vulgar,ambas
pues yo jalo trabaje en una ong y ahora en la defensoria publica federa digo igual y mi opinion es medio abogadil pero pues igual y sirve yo no te cobro nada la bronca es que tengo la patita enyesada,0,0,False
senores medios de prensa  ya dejen de entrevistar a seudos abogados oportunistas sin principios morales y eticos y que abusan del lenguaje abogadil para reventarse cuetes como doctos y no son mas que charlatanes oportunistas molesta verlos y escucharlos es ofensivo,1,0,True
jajajaja bueno a enrique le gusta provocar a la gente por eso el hilo con todo y la agresion abogadil supongo,0,0,False
"lo que mas me da gusto del tuit es la cantidad de colegas que se rieron real ese era el objetivo sin embargo tengo que reconocer a quienes lo tomaron en serio y dieron explicaciones recomendaciones de libros etc

pasen a leer aqui el gremio abogadil en todo esplendor",0,0,False
hace 111 anos nacio en el df uno de los mayores mitos del cine mexicanomario moreno cantinflas quien surgio de la carpa para convertirse en un fenomeno popularde su iconica imagen del peladito que se consagro en ahi esta el detallepaso a aburguesarse en comedias complacientes,0,0,False
los trabajadores blancos al ser beneficiados por la clase dominante unicamente tienen que cuidarse de no aburguesarse y no desarrollar formas de pensar burguesas como las tuyas los blancos y los los morenos que han pasado mucho tiempo en colegios privados conviviendo con blancos,0,0,False
balada de pajaros cantores y serpientes la primera imagen de la precuela de los juegos del hambre nos muestra a un acaramelado joven snow,0,0,False
balada de pajaros cantores y serpientes la primera imagen de la precuela de los juegos del hambre nos muestra a un acaramelado joven snow,0,0,False
cuando ves a tu marido bien acaramelado con la diputada esa,0,0,False
deja tu banderita de perseguido politico no sea payaso enterate informate esa senora es una achichincle ridiculo,1,0,True
pobre tenia la esperanza que se pudiera librar del achichincle,1,0,True
lopez doriga fue conocido por el regano de un presidente en la prehistoria fue achichincle de zabludovsky esperando tomar su trono siendo timorato y servil luego pudo hacer sus ahorritos con chayote y difusion social con su sa de cv ahora empezamos a conocerle personalmente,1,0,True
"ni como ayudarte ingrata si ah eso le llamas el mejor deberias de ir al oftalmologo de urgencia necesitas lentes para ver la realidad 
es un asco estar o ser achichincle de obrador",1,0,True
"me queda claro que si representan a cabalidad su 4t 

una ratera que quitaba los sueldos en texcoco
una que no esta en la carcel por la falta de mantenimiento a la linea 12 del metro
una que tiene un papa violador 
y otra que es la achichincle de lopez y hoy se gano un",1,0,True
atte el achichincle de ricardo monreal,1,0,True
"el achichincle de los ninos de timbers 
muchi exito hermanito",1,0,True
